invoice_line_id,invoice_id,line_number,product_id,quantity,unit_price,line_total
116,22,2,42,5,3333.13,16665.67
117,75,3,42,27,3169.1,85565.69
118,51,1,27,42,5190.04,217981.71
119,2,2,25,24,38110.2,914644.92
120,75,3,47,6,31641.68,189850.05
121,89,1,30,20,10528.23,210564.56
122,48,2,31,11,41396.95,455366.5
123,32,3,6,5,3575.0,17874.98
124,64,1,14,13,25210.77,327739.95
125,88,2,21,18,43732.37,787182.61
126,120,3,39,7,11392.41,79746.85
127,8,1,31,11,41396.95,455366.5
128,46,2,17,27,39954.42,1078769.43
129,90,3,42,6,2964.75,17788.49
130,17,1,2,34,36132.01,1228488.18
131,30,2,12,8,1395.94,11167.48
132,72,3,40,43,21718.79,933907.79
133,104,1,31,11,41396.95,455366.5
134,94,2,39,42,11152.05,468386.08
135,3,3,31,14,45041.09,630575.32
136,46,1,17,27,39954.42,1078769.43
137,33,2,9,13,19425.3,252528.91
138,63,3,10,12,19218.11,230617.29
139,72,1,40,43,21718.79,933907.79
140,70,2,31,11,41396.95,455366.5
141,25,3,42,6,2964.75,17788.49
142,70,1,31,11,41396.95,455366.5
143,42,2,19,44,38888.74,1711104.55
144,60,3,31,11,41396.95,455366.5
145,112,1,46,22,20969.96,461339.19
146,118,2,3,11,7848.32,86331.47
148,68,1,43,14,22380.08,313321.07
149,58,2,42,5,3333.13,16665.67
151,34,1,17,47,44491.63,2091106.7
152,47,2,35,36,11070.93,398553.63
153,1,3,43,14,22380.08,313321.07
154,94,1,39,42,11152.05,468386.08
155,114,2,39,29,11392.85,330392.57
158,47,2,35,36,11070.93,398553.63
159,42,3,19,44,38888.74,1711104.55
161,85,2,44,9,28904.38,260139.38
162,25,3,42,6,2964.75,17788.49
164,71,2,5,20,7258.11,145162.12
165,79,3,18,24,5662.02,135888.57
166,42,1,37,50,5899.66,294983.13
167,83,2,34,13,43096.91,560259.83
168,15,3,3,19,7617.35,144729.6
170,85,2,44,9,28904.38,260139.38
172,107,1,35,23,10916.33,251075.49
173,23,2,13,10,39138.59,391385.91
174,26,3,10,12,19218.11,230617.29
175,63,1,10,12,19218.11,230617.29
176,13,2,39,42,11152.05,468386.08
177,74,3,8,27,27809.76,750863.45
178,85,1,44,9,28904.38,260139.38
179,68,2,43,14,22380.08,313321.07
180,7,3,37,50,5899.66,294983.13
182,78,2,31,9,45596.22,410365.96
183,2,3,25,24,38110.2,914644.92
184,84,1,42,25,3065.19,76629.73
185,119,2,34,37,46257.67,1711533.69
186,60,3,31,11,41396.95,455366.5
187,47,1,35,36,11070.93,398553.63
188,106,2,33,33,28686.62,946658.41
189,102,3,7,26,6692.93,174016.08
190,106,1,33,33,28686.62,946658.41
191,68,2,43,14,22380.08,313321.07
192,94,3,39,42,11152.05,468386.08
193,107,1,35,23,10916.33,251075.49
194,10,2,36,1,618.06,618.06
196,13,1,39,42,11152.05,468386.08
197,93,2,41,17,10942.11,186015.82
199,50,1,25,42,40832.0,1714944.01
200,25,2,42,6,2964.75,17788.49
201,73,3,39,10,13075.58,130755.8
202,23,1,19,30,43255.33,1297659.94
203,96,2,8,31,27166.62,842165.35
205,82,1,13,14,40064.56,560903.91
206,87,2,27,35,4819.24,168673.39
207,90,3,42,6,2964.75,17788.49
208,114,1,39,29,11392.85,330392.57
209,22,2,42,5,3333.13,16665.67
210,71,3,27,35,4819.24,168673.39
212,44,2,3,10,8610.37,86103.73
215,57,2,9,7,19608.16,137257.15
216,116,3,7,17,6994.04,118898.75
217,71,1,27,35,4819.24,168673.39
218,109,2,10,11,19341.23,212753.58
219,53,3,35,23,10916.33,251075.49
220,106,1,33,33,28686.62,946658.41
221,78,2,15,17,11895.08,202216.44
222,73,3,39,10,13075.58,130755.8
223,28,1,9,7,19608.16,137257.15
225,71,3,27,35,4819.24,168673.39
226,47,1,35,36,11070.93,398553.63
227,58,2,42,5,3333.13,16665.67
228,1,3,43,14,22380.08,313321.07
229,37,1,27,42,5190.04,217981.71
231,18,3,3,44,8535.31,375553.5
232,1,1,43,14,22380.08,313321.07
234,28,3,9,7,19608.16,137257.15
235,3,1,31,14,45041.09,630575.32
236,118,2,3,11,7848.32,86331.47
237,13,3,39,42,11152.05,468386.08
238,59,1,18,26,6990.64,181756.53
239,20,2,14,27,29973.11,809274.04
240,34,3,47,38,32470.73,1233887.65
241,114,1,39,29,11392.85,330392.57
242,30,2,12,8,1395.94,11167.48
243,104,3,31,11,41396.95,455366.5
244,12,1,46,8,24303.55,194428.38
245,73,2,29,3,33943.33,101829.99
246,94,3,39,42,11152.05,468386.08
247,93,1,42,25,3065.19,76629.73
248,102,2,7,26,6692.93,174016.08
249,23,3,19,30,43255.33,1297659.94
250,106,1,36,42,588.33,24710.01
