invoice_id,order_id,invoice_date,due_date,total_amount,status
54,64,2025-11-18,2026-01-17,116012.97,Paid
55,105,2026-04-13,2026-04-28,353784.94,Paid
56,52,2026-06-08,2026-07-23,160502.32,Draft
57,80,2026-04-29,2026-06-13,459399.51,Draft
58,112,2025-08-07,2025-09-06,295258.68,Overdue
59,64,2026-01-12,2026-02-26,116012.97,Sent
60,121,2026-05-08,2026-06-22,19999.05,Sent
61,142,2026-06-14,2026-07-14,372734.19,Overdue
62,43,2025-12-25,2026-01-24,459665.17,Sent
63,55,2026-05-15,2026-06-14,47249.03,Sent
64,43,2025-12-12,2026-01-11,459665.17,Cancelled
65,70,2026-01-15,2026-02-14,188700.94,Draft
66,26,2026-03-18,2026-04-02,43998.32,Overdue
67,127,2026-06-09,2026-06-24,396007.2,Cancelled
68,11,2025-08-24,2025-10-23,245347.89,Paid
69,129,2026-06-21,2026-08-05,277167.85,Overdue
70,121,2025-11-28,2026-01-12,19999.05,Overdue
71,41,2025-08-10,2025-09-24,230679.46,Overdue
72,47,2026-01-01,2026-01-31,406830.06,Draft
73,106,2025-11-05,2026-01-04,440557.95,Overdue
74,108,2026-07-11,2026-07-26,101289.88,Cancelled
75,69,2026-02-13,2026-04-14,294528.16,Sent
76,90,2026-05-16,2026-05-31,342872.98,Cancelled
77,90,2026-05-14,2026-06-28,342872.98,Draft
78,3,2025-08-28,2025-09-27,121719.71,Overdue
79,122,2026-06-17,2026-07-02,345286.15,Paid
80,72,2026-04-25,2026-06-09,394150.77,Sent
81,112,2025-08-19,2025-10-03,295258.68,Sent
82,56,2026-07-10,2026-09-08,111089.27,Cancelled
83,68,2026-04-02,2026-05-17,116514.6,Sent
84,97,2026-06-19,2026-08-18,234057.6,Sent
85,82,2025-09-08,2025-10-23,46994.38,Paid
86,80,2025-12-10,2026-01-24,459399.51,Overdue
87,41,2026-03-13,2026-04-12,230679.46,Cancelled
88,142,2025-12-10,2026-01-09,372734.19,Draft
89,56,2025-10-02,2025-11-01,111089.27,Cancelled
90,86,2026-02-19,2026-04-20,394523.12,Sent
91,34,2025-08-23,2025-09-22,234057.4,Overdue
92,3,2026-04-15,2026-05-15,121719.71,Overdue
93,97,2025-10-12,2025-11-11,234057.6,Cancelled
94,107,2026-07-24,2026-09-07,447695.23,Overdue
95,62,2025-10-25,2025-12-09,47452.74,Cancelled
96,119,2025-09-09,2025-09-24,382479.68,Overdue
97,23,2026-01-21,2026-02-20,128353.82,Draft
98,46,2026-07-08,2026-08-22,220746.83,Overdue
99,131,2026-02-27,2026-03-14,69449.07,Overdue
100,67,2026-07-16,2026-08-30,293276.28,Paid
101,72,2025-10-14,2025-11-28,394150.77,Paid
102,5,2026-04-28,2026-06-27,196872.73,Draft
103,69,2025-10-20,2025-11-19,294528.16,Cancelled
104,121,2025-12-06,2026-01-05,19999.05,Paid
105,70,2025-11-04,2025-12-19,188700.94,Cancelled
106,96,2026-04-04,2026-06-03,429089.31,Draft
107,74,2025-11-08,2025-12-23,156243.77,Overdue
108,131,2025-08-22,2025-09-21,69449.07,Sent
109,132,2025-12-03,2026-01-17,140209.81,Overdue
110,131,2026-01-23,2026-03-24,69449.07,Draft
111,19,2026-02-07,2026-03-09,445369.24,Paid
112,49,2025-09-12,2025-10-27,205649.46,Paid
113,137,2026-04-15,2026-05-30,261138.91,Paid
114,126,2026-04-04,2026-06-03,207184.81,Paid
115,88,2026-02-10,2026-03-27,375759.0,Cancelled
116,105,2025-11-13,2026-01-12,353784.94,Overdue
117,39,2026-03-14,2026-04-13,427495.88,Draft
118,28,2026-05-18,2026-06-17,422989.58,Paid
119,147,2026-07-11,2026-07-26,395339.43,Sent
120,39,2026-05-22,2026-07-21,427495.88,Draft
