opportunity_id,customer_id,sales_rep_id,stage,value,close_date,probability
172,71,7,Closed Won,10866.23,2026-06-08,1.0
173,93,5,Closed Won,270190.36,2025-08-04,1.0
174,3,9,Proposal,407512.82,2025-09-08,0.5
175,56,3,Closed Lost,57973.13,2025-10-01,0.0
176,68,3,Prospecting,124279.57,2027-03-03,0.1
177,68,5,Closed Won,408531.12,2025-09-23,1.0
178,51,2,Proposal,189660.53,2026-01-09,0.5
179,59,10,Negotiation,125387.91,2026-05-21,0.75
180,29,5,Closed Lost,343600.6,2025-11-02,0.0
181,84,1,Prospecting,51282.75,2027-04-12,0.1
182,49,9,Negotiation,240622.52,2026-01-23,0.75
183,2,3,Closed Lost,45929.63,2026-05-18,0.0
184,83,6,Negotiation,285099.03,2026-06-10,0.75
185,68,1,Prospecting,118734.42,2026-12-03,0.1
186,73,8,Closed Lost,139192.05,2025-08-29,0.0
187,88,5,Prospecting,450159.27,2026-09-21,0.1
188,85,1,Closed Won,93780.48,2026-07-06,1.0
189,3,4,Proposal,295582.87,2025-09-24,0.5
190,51,2,Closed Lost,153142.06,2026-01-27,0.0
191,31,10,Closed Won,418152.03,2026-07-28,1.0
192,87,9,Negotiation,169206.27,2026-05-07,0.75
193,18,2,Closed Lost,252892.46,2025-10-25,0.0
194,7,2,Proposal,221358.69,2026-01-07,0.5
195,44,10,Prospecting,385657.8,2027-03-20,0.1
196,51,6,Closed Won,19664.7,2025-10-15,1.0
197,58,8,Proposal,117928.5,2026-04-24,0.5
198,49,7,Closed Won,96940.23,2025-12-03,1.0
199,85,7,Closed Won,47418.59,2026-03-22,1.0
200,38,4,Closed Won,357988.72,2026-05-02,1.0
