order_line_id,order_id,line_number,product_id,quantity,unit_price,line_total
74,150,2,38,40,32247.48,1289899.24
75,50,3,33,8,31409.35,251274.8
76,98,1,34,20,43642.66,872853.13
77,39,2,9,13,19425.3,252528.91
78,146,3,30,10,9716.05,97160.5
79,47,1,50,6,30962.19,185773.14
80,46,2,21,41,39265.22,1609873.93
81,116,3,18,14,6705.58,93878.1
82,44,1,37,49,4941.34,242125.84
83,23,2,9,40,19832.54,793301.64
84,110,3,26,28,2725.64,76317.84
85,99,1,1,3,2064.69,6194.08
86,96,2,1,21,2166.28,45491.84
87,136,3,13,2,40520.13,81040.26
88,64,1,15,45,12588.5,566482.65
89,80,2,9,7,19608.16,137257.15
90,79,3,11,5,5575.73,27878.63
91,77,1,19,30,43255.33,1297659.94
92,135,2,22,28,13286.2,372013.54
93,35,3,22,32,11849.05,379169.73
94,49,1,11,26,4645.58,120785.02
95,58,2,47,9,30473.5,274261.53
96,6,3,38,33,33021.89,1089722.52
97,94,1,46,42,24463.6,1027471.13
98,97,2,41,17,10942.11,186015.82
99,13,3,39,4,12713.84,50855.34
100,6,1,4,45,32851.49,1478317.21
101,114,2,25,8,41393.63,331149.04
102,122,3,45,10,26778.32,267783.21
103,3,1,20,27,22079.88,596156.79
104,134,2,18,40,6486.49,259459.7
105,36,3,27,7,4792.21,33545.44
106,31,1,19,8,43776.17,350209.37
107,128,2,13,39,36387.33,1419106.04
108,68,3,34,13,43096.91,560259.83
109,105,1,19,11,36956.86,406525.48
110,128,2,14,45,30141.11,1356350.11
111,85,3,16,1,31729.79,31729.79
112,23,1,8,37,31290.5,1157748.36
113,39,2,6,50,3978.36,198917.93
114,26,3,17,42,38526.05,1618094.16
115,76,1,17,30,36877.26,1106317.8
116,45,2,3,19,7617.35,144729.6
117,81,3,28,48,27732.18,1331144.44
118,12,1,1,9,2123.7,19113.31
119,44,2,22,23,13304.01,305992.26
120,69,3,47,6,31641.68,189850.05
121,88,1,12,8,1395.94,11167.48
122,117,2,18,25,6605.17,165129.35
123,123,3,27,42,5190.04,217981.71
124,43,1,8,9,31472.43,283251.91
125,16,2,11,7,5104.35,35730.42
126,124,3,37,44,5273.74,232044.37
127,98,1,50,23,31816.2,731772.52
128,34,2,31,32,40352.79,1291289.16
129,106,3,29,3,33943.33,101829.99
130,81,1,1,46,2217.05,101984.22
131,135,2,50,48,31576.72,1515682.46
132,145,3,15,43,12578.59,540879.26
133,133,1,34,45,46485.57,2091850.64
134,25,2,28,43,31847.3,1369433.98
135,124,3,23,43,27530.03,1183791.09
136,99,1,10,36,22614.41,814118.66
137,14,2,1,42,2247.12,94379.15
138,130,3,31,32,47774.73,1528791.45
139,20,1,49,32,13801.09,441634.86
140,85,2,18,4,6347.48,25389.91
141,141,3,42,25,3091.86,77296.45
142,61,1,6,30,3918.82,117564.71
143,147,2,29,6,40569.82,243418.92
144,115,3,21,8,48192.82,385542.57
145,5,1,7,26,6692.93,174016.08
146,143,2,36,1,618.06,618.06
147,78,3,33,36,27146.28,977266.12
148,117,1,22,24,13115.87,314780.9
149,58,2,30,22,10264.76,225824.78
150,122,3,46,43,22274.43,957800.35
151,116,1,8,7,31895.65,223269.54
152,57,2,1,22,1983.34,43633.46
153,75,3,36,34,560.17,19045.88
154,28,1,3,11,7848.32,86331.47
155,105,2,7,17,6994.04,118898.75
156,49,3,8,26,28251.72,734544.65
157,49,1,46,22,20969.96,461339.19
158,107,2,3,41,8451.11,346495.57
159,32,3,50,29,30753.87,891862.3
160,130,1,9,32,17911.9,573180.76
161,13,2,36,28,619.72,17352.07
162,124,3,33,50,31755.64,1587782.02
163,46,1,45,38,26575.55,1009870.94
164,33,2,7,25,7064.84,176620.91
165,83,3,33,25,28513.09,712827.17
166,64,1,18,26,6990.64,181756.53
167,76,2,29,9,34568.54,311116.89
168,132,3,20,45,21540.59,969326.64
169,81,1,46,48,25195.57,1209387.46
170,56,2,13,14,40064.56,560903.91
171,75,3,44,23,30128.24,692949.63
172,34,1,46,42,25398.07,1066719.04
173,46,2,33,35,30291.8,1060213.13
174,83,3,46,8,24303.55,194428.38
175,144,1,31,38,44843.37,1704048.15
176,107,2,44,48,29960.95,1438125.71
177,137,3,19,28,43991.58,1231764.36
178,134,1,7,2,6645.19,13290.39
179,14,2,43,4,20804.9,83219.59
180,42,3,19,44,38888.74,1711104.55
181,16,1,45,19,26768.81,508607.34
182,139,2,3,23,8410.16,193433.72
183,27,3,40,44,22819.88,1004074.68
184,58,1,48,42,19142.53,803986.28
185,61,2,33,45,27667.59,1245041.64
186,13,3,25,25,40203.73,1005093.22
187,81,1,36,4,513.95,2055.79
188,65,2,13,40,42184.53,1687381.36
189,114,3,15,41,12143.62,497888.29
190,95,1,49,38,14522.93,551871.16
191,51,2,50,47,34251.26,1609809.06
192,76,3,29,12,41629.59,499555.04
193,20,1,12,12,1501.98,18023.72
194,31,2,25,3,40312.43,120937.3
195,143,3,17,9,37886.57,340979.15
196,66,1,1,22,2033.98,44747.48
197,40,2,3,10,8610.37,86103.73
198,14,3,50,41,31845.52,1305666.37
199,78,1,32,37,12882.53,476653.68
200,19,2,46,21,23101.94,485140.8
201,48,3,34,5,47332.87,236664.34
202,41,1,27,35,4819.24,168673.39
203,24,2,23,15,28749.26,431238.9
204,85,3,22,24,11670.54,280092.87
205,136,1,31,36,47326.09,1703739.4
206,3,2,8,43,29125.74,1252406.88
207,62,3,42,40,3453.71,138148.33
208,63,1,3,44,8535.31,375553.5
209,98,2,8,25,28526.5,713162.38
210,73,3,2,34,36132.01,1228488.18
211,96,1,33,33,28686.62,946658.41
212,12,2,19,42,38357.65,1611021.22
213,132,3,6,7,3674.75,25723.25
214,138,1,35,1,10354.7,10354.7
215,54,2,43,41,23646.71,969515.24
216,109,3,7,14,6883.17,96364.31
217,112,1,42,5,3333.13,16665.67
218,40,2,2,30,35343.44,1060303.12
219,10,3,6,5,3575.0,17874.98
220,65,1,36,5,585.92,2929.62
221,59,2,17,27,39954.42,1078769.43
222,104,3,28,21,27065.06,568366.35
223,31,1,35,1,10387.12,10387.12
224,17,2,49,48,14647.48,703078.92
225,19,3,23,33,24173.41,797722.57
226,78,1,39,6,11676.29,70057.73
227,113,2,25,26,43895.48,1141282.51
228,8,3,31,11,44478.69,489265.55
229,35,1,48,26,20130.87,523402.5
230,140,2,19,41,37914.5,1554494.3
231,96,3,1,36,2219.98,79919.23
232,37,1,8,3,26840.6,80521.81
233,101,2,35,36,11070.93,398553.63
234,79,3,14,48,28969.87,1390553.99
235,89,1,14,27,29973.11,809274.04
236,132,2,10,11,19341.23,212753.58
237,65,3,13,8,36227.99,289823.9
238,146,1,4,49,39369.29,1929095.13
239,141,2,30,42,10241.16,430128.66
240,75,3,43,5,21056.47,105282.35
241,51,1,47,38,32470.73,1233887.65
242,85,2,23,9,27500.59,247505.31
243,61,3,7,19,7007.19,133136.54
244,50,1,21,32,43064.32,1378058.14
245,79,2,45,38,26440.21,1004727.94
246,146,3,24,21,1724.34,36211.22
247,44,1,1,21,1933.72,40608.05
248,57,2,46,48,23691.28,1137181.28
249,71,3,24,9,1627.3,14645.66
250,85,1,31,30,43614.23,1308426.75
251,79,2,32,36,11633.03,418789.22
252,21,3,18,9,6888.81,61999.33
253,51,1,17,47,44491.63,2091106.7
254,20,2,47,5,35400.82,177004.1
255,130,3,41,2,11037.03,22074.07
256,149,1,26,50,2519.63,125981.35
257,10,2,36,17,581.89,9892.15
258,139,3,31,42,46850.34,1967714.23
259,94,1,26,15,2685.08,40276.15
260,75,2,9,30,20134.08,604022.46
261,24,3,26,24,2471.39,59313.42
262,62,1,40,44,20057.85,882545.55
263,132,2,9,29,18604.72,539536.81
264,145,3,37,43,5789.48,248947.78
265,38,1,48,47,18816.16,884359.56
266,92,2,3,15,8318.35,124775.24
267,60,3,5,17,6733.91,114476.49
268,11,1,43,14,22380.08,313321.07
269,93,2,25,31,44767.36,1387788.05
270,12,3,3,42,7554.2,317276.57
271,134,1,41,18,11088.02,199584.28
272,68,2,38,35,36199.54,1266984.04
273,97,3,42,25,3065.19,76629.73
274,20,1,34,17,43278.94,735742.01
275,58,2,34,26,43047.23,1119227.91
276,89,3,32,31,13836.69,428937.34
277,2,1,33,9,28650.11,257850.96
278,59,2,5,33,7156.25,236156.19
279,55,3,10,12,19218.11,230617.29
280,31,1,43,15,21868.5,328027.56
281,85,2,47,8,32429.67,259437.37
282,123,3,31,14,45041.09,630575.32
283,106,1,2,16,30295.23,484723.71
284,147,2,38,11,32750.52,360255.73
285,132,3,3,37,7244.62,268051.05
286,43,1,17,12,41125.44,493505.29
287,104,2,39,37,12647.44,467955.17
288,73,3,6,14,3923.25,54925.43
289,121,1,31,11,41396.95,455366.5
290,106,2,39,10,13075.58,130755.8
291,47,3,40,43,21718.79,933907.79
292,43,1,47,44,31424.94,1382697.43
293,117,2,39,38,11096.3,421659.25
294,97,3,25,9,37400.06,336600.53
295,52,1,34,33,46325.24,1528732.94
296,39,2,39,7,11392.41,79746.85
297,10,3,35,33,10635.44,350969.65
298,24,1,31,43,40523.42,1742506.9
299,139,2,1,50,2130.63,106531.26
300,111,3,34,27,43220.09,1166942.36
