order_item_id,order_id,product_id,quantity,unit_price,discount_amount
160,60,27,1,19.99,0.0
161,60,30,1,34.99,0.0
162,60,19,3,29.99,9.0
163,61,21,3,79.99,12.0
164,61,7,3,199.99,0.0
165,61,25,2,99.99,20.0
166,62,21,1,79.99,4.0
167,62,10,2,79.99,8.0
168,62,16,1,14.99,0.0
169,63,15,2,89.99,9.0
170,63,14,1,29.99,0.0
171,64,11,3,59.99,0.0
172,64,28,3,49.99,0.0
173,65,5,3,89.99,0.0
174,65,25,2,99.99,0.0
175,65,12,2,39.99,0.0
176,65,17,2,9.99,1.0
177,66,5,1,89.99,0.0
178,66,4,2,349.99,70.0
179,67,8,2,24.99,5.0
180,67,28,3,49.99,0.0
181,67,29,1,14.99,0.0
182,67,6,2,129.99,26.0
183,68,16,1,14.99,0.75
184,68,29,3,14.99,2.25
185,68,10,1,79.99,0.0
186,68,1,3,999.99,0.0
187,69,2,2,799.99,80.0
188,70,10,1,79.99,4.0
189,70,18,1,12.99,0.0
190,70,1,3,999.99,0.0
191,70,28,2,49.99,0.0
192,71,13,1,149.99,15.0
193,72,12,2,39.99,0.0
194,72,18,2,12.99,2.6
195,73,25,3,99.99,30.0
196,73,18,1,12.99,0.0
197,73,9,1,35.99,1.8
198,73,27,2,19.99,0.0
199,74,25,3,99.99,30.0
200,74,5,2,89.99,18.0
201,74,7,1,199.99,0.0
202,75,5,3,89.99,0.0
203,76,17,3,9.99,0.0
204,76,15,2,89.99,18.0
205,76,5,2,89.99,0.0
206,76,20,2,249.99,50.0
207,77,19,3,29.99,9.0
208,77,11,2,59.99,12.0
209,77,17,2,9.99,1.0
210,78,12,2,39.99,0.0
211,79,19,3,29.99,0.0
212,79,10,3,79.99,12.0
213,79,26,2,59.99,12.0
214,79,29,3,14.99,0.0
215,80,19,2,29.99,0.0
216,81,5,1,89.99,9.0
217,81,27,3,19.99,0.0
218,81,22,1,19.99,0.0
219,81,8,2,24.99,0.0
220,82,5,2,89.99,18.0
221,82,14,3,29.99,4.5
222,82,23,3,9.99,0.0
223,82,7,3,199.99,0.0
224,83,18,3,12.99,1.95
225,83,11,3,59.99,9.0
226,84,6,3,129.99,0.0
227,84,15,3,89.99,0.0
228,84,30,3,34.99,0.0
229,85,7,2,199.99,0.0
230,85,8,2,24.99,0.0
231,85,9,3,35.99,0.0
232,85,18,3,12.99,1.95
233,86,16,3,14.99,0.0
234,86,12,2,39.99,0.0
235,86,18,3,12.99,3.9
236,87,29,1,14.99,0.0
237,87,13,1,149.99,0.0
238,87,27,3,19.99,0.0
239,87,12,2,39.99,4.0
240,88,24,1,69.99,7.0
241,88,16,2,14.99,3.0
242,88,7,3,199.99,0.0
243,89,4,3,349.99,105.0
244,89,20,1,249.99,0.0
245,90,22,3,19.99,0.0
246,91,2,2,799.99,0.0
247,91,4,3,349.99,52.5
248,92,22,1,19.99,0.0
249,93,14,2,29.99,3.0
250,93,21,3,79.99,0.0
251,94,11,1,59.99,0.0
252,94,10,3,79.99,24.0
253,94,21,1,79.99,8.0
254,95,30,1,34.99,1.75
255,96,30,2,34.99,3.5
256,96,2,1,799.99,0.0
257,97,1,2,999.99,200.0
258,98,30,2,34.99,0.0
259,99,21,1,79.99,8.0
260,99,18,2,12.99,0.0
261,99,17,1,9.99,0.0
262,99,16,2,14.99,0.0
263,100,21,1,79.99,0.0
264,100,9,2,35.99,7.2
265,100,23,3,9.99,0.0
266,100,6,1,129.99,13.0
