payment_id,order_id,payment_date,amount,method,status
37,31,2024-08-17 00:00:00,440.6,bank_transfer,failed
38,29,2024-09-14 00:00:00,164.24,credit_card,failed
39,76,2024-07-15 00:00:00,320.48,debit_card,failed
40,64,2024-06-13 00:00:00,486.7,bank_transfer,pending
41,68,2024-08-21 00:00:00,354.23,debit_card,completed
42,39,2024-09-05 00:00:00,108.26,paypal,pending
43,31,2024-07-28 00:00:00,164.35,bank_transfer,completed
44,60,2024-06-15 00:00:00,289.95,debit_card,failed
45,68,2024-07-05 00:00:00,206.44,credit_card,completed
46,43,2024-11-13 00:00:00,57.95,debit_card,completed
47,12,2024-10-16 00:00:00,367.8,credit_card,completed
48,35,2024-09-05 00:00:00,343.36,paypal,completed
49,10,2024-07-19 00:00:00,406.23,paypal,failed
50,28,2024-10-01 00:00:00,120.27,credit_card,completed
51,2,2024-07-25 00:00:00,469.84,bank_transfer,completed
52,96,2024-10-01 00:00:00,458.93,bank_transfer,failed
53,91,2024-07-23 00:00:00,210.38,credit_card,failed
54,42,2024-08-12 00:00:00,202.72,paypal,completed
55,40,2024-08-06 00:00:00,192.63,debit_card,pending
56,13,2024-09-29 00:00:00,385.58,credit_card,completed
57,48,2024-08-20 00:00:00,218.69,paypal,completed
58,95,2024-07-08 00:00:00,27.79,paypal,failed
59,75,2024-09-15 00:00:00,161.69,credit_card,completed
60,30,2024-09-06 00:00:00,293.5,credit_card,pending
61,71,2024-11-15 00:00:00,472.86,credit_card,completed
62,98,2024-10-04 00:00:00,483.92,bank_transfer,pending
63,59,2024-07-14 00:00:00,371.73,credit_card,completed
64,18,2024-10-18 00:00:00,254.39,paypal,completed
65,68,2024-06-09 00:00:00,422.75,credit_card,completed
66,98,2024-06-02 00:00:00,217.95,bank_transfer,completed
67,9,2024-07-09 00:00:00,24.39,paypal,pending
68,48,2024-06-16 00:00:00,316.56,bank_transfer,failed
69,62,2024-11-16 00:00:00,254.17,credit_card,failed
70,71,2024-09-14 00:00:00,25.69,paypal,completed
71,69,2024-08-13 00:00:00,28.23,bank_transfer,pending
72,23,2024-06-28 00:00:00,460.66,paypal,completed
73,31,2024-07-20 00:00:00,317.49,credit_card,completed
74,35,2024-09-10 00:00:00,57.93,debit_card,pending
75,73,2024-08-02 00:00:00,495.31,credit_card,completed
76,88,2024-06-21 00:00:00,333.79,bank_transfer,completed
77,12,2024-09-12 00:00:00,202.05,paypal,pending
78,8,2024-11-11 00:00:00,24.54,credit_card,completed
79,64,2024-09-20 00:00:00,329.56,credit_card,failed
80,13,2024-10-14 00:00:00,461.19,credit_card,completed
81,89,2024-10-24 00:00:00,248.24,credit_card,completed
82,88,2024-08-11 00:00:00,451.67,paypal,completed
83,23,2024-08-20 00:00:00,27.52,credit_card,failed
84,19,2024-09-10 00:00:00,465.86,credit_card,completed
85,73,2024-08-01 00:00:00,292.01,debit_card,failed
86,43,2024-09-07 00:00:00,382.69,credit_card,completed
87,65,2024-08-28 00:00:00,45.77,debit_card,completed
88,10,2024-08-27 00:00:00,310.48,paypal,failed
89,51,2024-08-23 00:00:00,34.22,credit_card,pending
90,63,2024-07-29 00:00:00,190.79,debit_card,pending
91,24,2024-11-22 00:00:00,301.22,debit_card,completed
92,99,2024-11-06 00:00:00,161.78,credit_card,completed
93,11,2024-08-08 00:00:00,94.03,bank_transfer,completed
94,95,2024-09-08 00:00:00,172.01,credit_card,completed
95,1,2024-08-18 00:00:00,233.47,credit_card,completed
96,17,2024-06-23 00:00:00,109.95,debit_card,failed
97,72,2024-10-10 00:00:00,215.86,credit_card,completed
98,46,2024-10-20 00:00:00,64.67,paypal,completed
99,50,2024-06-04 00:00:00,160.09,debit_card,completed
100,93,2024-10-22 00:00:00,454.5,credit_card,failed
101,67,2024-07-14 00:00:00,348.95,credit_card,completed
102,35,2024-08-17 00:00:00,148.84,credit_card,completed
103,22,2024-09-20 00:00:00,152.46,credit_card,pending
104,10,2024-09-01 00:00:00,140.82,credit_card,pending
105,77,2024-11-05 00:00:00,113.86,credit_card,completed
106,39,2024-06-02 00:00:00,475.44,credit_card,failed
107,49,2024-08-24 00:00:00,231.31,debit_card,failed
108,18,2024-08-16 00:00:00,173.92,bank_transfer,completed
109,62,2024-08-20 00:00:00,105.27,debit_card,completed
110,38,2024-11-25 00:00:00,323.79,paypal,completed
111,42,2024-09-05 00:00:00,154.54,debit_card,completed
112,15,2024-10-23 00:00:00,115.9,paypal,completed
113,88,2024-10-19 00:00:00,32.92,bank_transfer,pending
114,91,2024-07-24 00:00:00,230.46,credit_card,completed
115,53,2024-11-20 00:00:00,259.67,bank_transfer,completed
116,31,2024-08-04 00:00:00,336.16,bank_transfer,pending
117,49,2024-06-19 00:00:00,235.55,paypal,pending
118,75,2024-09-11 00:00:00,276.5,bank_transfer,pending
119,70,2024-06-10 00:00:00,399.55,credit_card,failed
120,77,2024-11-11 00:00:00,458.91,credit_card,completed
