status_id,order_id,status,changed_at,changed_by
121,57,confirmed,2024-11-18 06:00:00,system
122,58,pending,2024-11-04 00:00:00,system
123,58,confirmed,2024-11-05 10:00:00,system
124,58,processing,2024-11-06 08:00:00,admin
125,59,pending,2024-07-13 01:00:00,admin
126,59,confirmed,2024-07-14 05:00:00,system
127,60,pending,2024-08-11 00:00:00,customer
128,60,confirmed,2024-08-12 03:00:00,customer
129,61,pending,2024-09-05 06:00:00,system
130,61,confirmed,2024-09-06 01:00:00,admin
131,61,processing,2024-09-07 07:00:00,customer
132,62,pending,2024-06-23 07:00:00,admin
133,62,confirmed,2024-06-24 05:00:00,system
134,63,pending,2024-11-15 00:00:00,system
135,63,confirmed,2024-11-16 06:00:00,admin
136,64,pending,2024-10-21 08:00:00,system
137,65,pending,2024-11-02 09:00:00,customer
138,66,pending,2024-10-09 08:00:00,system
139,66,confirmed,2024-10-10 10:00:00,customer
140,67,pending,2024-08-27 05:00:00,system
141,67,confirmed,2024-08-28 03:00:00,admin
142,68,pending,2024-10-22 12:00:00,customer
143,68,confirmed,2024-10-23 09:00:00,admin
144,69,pending,2024-11-16 05:00:00,customer
145,69,confirmed,2024-11-17 07:00:00,system
146,69,processing,2024-11-18 01:00:00,customer
147,70,pending,2024-06-01 05:00:00,admin
148,71,pending,2024-08-14 08:00:00,customer
149,71,confirmed,2024-08-15 05:00:00,customer
150,71,processing,2024-08-16 01:00:00,system
151,72,pending,2024-10-05 02:00:00,customer
152,73,pending,2024-09-13 01:00:00,admin
153,73,confirmed,2024-09-14 09:00:00,system
154,73,processing,2024-09-15 03:00:00,system
155,74,pending,2024-07-26 07:00:00,system
156,74,confirmed,2024-07-27 11:00:00,admin
157,75,pending,2024-09-15 00:00:00,customer
158,76,pending,2024-10-29 01:00:00,admin
159,76,confirmed,2024-10-30 07:00:00,customer
160,76,processing,2024-10-31 09:00:00,customer
161,77,pending,2024-10-06 00:00:00,customer
162,78,pending,2024-06-13 08:00:00,admin
163,78,confirmed,2024-06-14 09:00:00,admin
164,78,processing,2024-06-15 08:00:00,system
165,79,pending,2024-10-27 02:00:00,customer
166,79,confirmed,2024-10-28 02:00:00,system
167,79,processing,2024-10-29 06:00:00,customer
168,80,pending,2024-11-03 05:00:00,customer
169,80,confirmed,2024-11-04 06:00:00,admin
170,80,processing,2024-11-05 09:00:00,customer
171,81,pending,2024-08-10 06:00:00,admin
172,82,pending,2024-09-24 12:00:00,system
173,82,confirmed,2024-09-25 02:00:00,admin
174,83,pending,2024-11-27 11:00:00,customer
175,83,confirmed,2024-11-28 04:00:00,customer
176,83,processing,2024-11-29 08:00:00,admin
177,84,pending,2024-10-20 10:00:00,system
178,84,confirmed,2024-10-21 03:00:00,system
179,84,processing,2024-10-22 09:00:00,customer
180,85,pending,2024-11-23 05:00:00,customer
181,85,confirmed,2024-11-24 02:00:00,customer
182,86,pending,2024-07-16 08:00:00,customer
183,86,confirmed,2024-07-17 11:00:00,customer
184,86,processing,2024-07-18 05:00:00,customer
185,87,pending,2024-08-30 08:00:00,admin
186,88,pending,2024-10-25 10:00:00,customer
187,88,confirmed,2024-10-26 06:00:00,customer
188,88,processing,2024-10-27 11:00:00,customer
189,89,pending,2024-09-17 12:00:00,system
190,89,confirmed,2024-09-18 08:00:00,system
191,90,pending,2024-09-06 02:00:00,system
192,91,pending,2024-06-15 03:00:00,admin
193,91,confirmed,2024-06-16 12:00:00,system
194,91,processing,2024-06-17 04:00:00,customer
195,92,pending,2024-07-08 00:00:00,customer
196,92,confirmed,2024-07-09 12:00:00,admin
197,93,pending,2024-10-17 00:00:00,admin
198,94,pending,2024-06-27 09:00:00,customer
199,94,confirmed,2024-06-28 11:00:00,customer
200,95,pending,2024-11-13 08:00:00,admin
201,96,pending,2024-10-09 12:00:00,customer
202,97,pending,2024-11-25 10:00:00,system
203,97,confirmed,2024-11-26 06:00:00,admin
204,98,pending,2024-11-23 05:00:00,customer
205,98,confirmed,2024-11-24 00:00:00,system
206,99,pending,2024-08-04 03:00:00,customer
207,99,confirmed,2024-08-05 12:00:00,admin
208,99,processing,2024-08-06 03:00:00,customer
209,100,pending,2024-11-13 05:00:00,customer
210,100,confirmed,2024-11-14 08:00:00,customer
211,100,processing,2024-11-15 09:00:00,system
